,日期,收盘价(元)
0,2015/02/09,34.6277868152056
1,2015/02/10,33.2237586527525
2,2015/02/11,29.4587861543083
3,2015/02/12,25.64461091205
4,2015/02/13,22.1010489031484
5,2015/02/16,22.8367829851981
6,2015/02/17,23.7029600536893
7,2015/02/25,25.1718906825975
8,2015/02/26,25.4302867710738
9,2015/02/27,26.0181145965538
10,2015/03/02,27.5313660149967
11,2015/03/03,27.1315463879401
12,2015/03/04,26.1823039698941
13,2015/03/05,25.2459351273661
14,2015/03/06,24.861942784871
15,2015/03/09,25.7402760790113
16,2015/03/10,24.6239843686913
17,2015/03/11,24.0633466779554
18,2015/03/12,23.8755195864431
19,2015/03/13,23.9628514905732
20,2015/03/16,24.9804842589667
21,2015/03/17,24.7473211910153
22,2015/03/18,25.0416551058479
23,2015/03/19,26.1210137778155
24,2015/03/20,26.7280748701654
25,2015/03/23,28.9640331479784
26,2015/03/24,29.4521520011802
27,2015/03/25,28.204897815801
28,2015/03/26,28.2756249120926
29,2015/03/27,28.8747204625413
30,2015/03/30,29.884694264606
31,2015/03/31,30.3961051014107
32,2015/04/01,31.5945581339088
33,2015/04/02,33.809740800028
34,2015/04/03,34.0460646311918
35,2015/04/07,34.8611674527144
36,2015/04/08,36.1868788690683
37,2015/04/09,38.8323028590398
38,2015/04/10,38.3504529858482
39,2015/04/13,39.6200624519311
40,2015/04/14,40.8322544446769
41,2015/04/15,41.4582388760612
42,2015/04/16,41.4393488904564
43,2015/04/17,46.1674733277748
44,2015/04/20,50.7087622074925
45,2015/04/21,48.5085471651907
46,2015/04/22,45.5562369953597
47,2015/04/23,45.8565174602689
48,2015/04/24,45.9235194742907
49,2015/04/27,45.842811909937
50,2015/04/28,45.3012855472042
51,2015/04/29,45.0214234168194
52,2015/04/30,44.6182053093077
53,2015/05/04,44.2039273469122
54,2015/05/05,42.3455108772351
55,2015/05/06,42.5108063720823
56,2015/05/07,43.9526845455724
57,2015/05/08,43.1711921145361
58,2015/05/11,43.1568884691756
59,2015/05/12,43.281701925867
60,2015/05/13,42.9428754899323
61,2015/05/14,41.7243695454993
62,2015/05/15,37.2773831843997
63,2015/05/18,34.0082155492255
64,2015/05/19,35.0481840227074
65,2015/05/20,38.3178018231565
66,2015/05/21,39.2282890824785
67,2015/05/22,41.8663854260392
68,2015/05/25,45.9811499403154
69,2015/05/26,46.5022116054829
70,2015/05/27,48.1069434981018
71,2015/05/28,46.2023813401356
72,2015/05/29,46.0872864376005
73,2015/06/01,48.0749870671583
74,2015/06/02,49.6236918281177
75,2015/06/03,49.9333678060959
76,2015/06/04,49.0310493607636
77,2015/06/05,49.2442104817209
78,2015/06/08,49.1878467362422
79,2015/06/09,51.2103444958125
80,2015/06/10,51.3579434063603
81,2015/06/11,52.9252462023518
82,2015/06/12,53.6485930989575
83,2015/06/15,50.37464084753
84,2015/06/16,49.1359009617904
85,2015/06/17,48.6325282959415
86,2015/06/18,51.6375144475847
87,2015/06/19,58.9836566618291
88,2015/06/23,52.8699012518718
89,2015/06/24,52.9279145624079
90,2015/06/25,49.6882926693567
91,2015/06/26,63.4414394253432
92,2015/06/29,74.3054626718549
